1831466064,deleted
1506843600,deleted
2769583169,suspended
446752401,deleted
3011155588,deleted
2832548774,suspended
538533072,deleted
985416680,deleted
309513711,deleted
93677066,deleted
1087659630,deleted
823051283963576321,deleted
81540008,deleted
829341746442170369,deleted
49338181,suspended
604616317,deleted
288547355,deleted
322830149,deleted
180221917,deleted
729794893,deleted
348464700,suspended
46921485,deleted
2218571256,suspended
551977052,deleted
540392893,deleted
17431454,deleted
241763542,deleted
460271520,deleted
560535664,deleted
166370026,suspended
862597134,suspended
325794168,deleted
14605258,suspended
574544033,deleted
2493086664,suspended
16152619,deleted
1649618346,deleted
1123305067,deleted
912871116,deleted
154300993,deleted
462307270,deleted
579323923,deleted
885908203585716224,deleted
799987450051497984,deleted
1000703436,deleted
445883495,deleted
2310903839,suspended
14928284,suspended
3237496520,deleted
792557623237287936,deleted
2324186654,suspended
279731722,deleted
307419281,suspended
338587175,suspended
795672556951011328,deleted
196876465,deleted
26838458,deleted
1854609859,suspended
95625593,suspended
172320853,deleted
3421439320,deleted
3313497330,deleted
833012634677035008,deleted
2324935206,deleted
2657902698,deleted
1084573092,deleted
441381400,deleted
2827140625,suspended
37617784,deleted
2924854200,deleted
275703997,deleted
298258217,deleted
493326395,deleted
95311656,deleted
258592893,suspended
349719989,deleted
24828102,deleted
252634858,deleted
2279444121,deleted
842379050,deleted
41277862,suspended
1480601168,deleted
861434822689935362,deleted
1189781814,suspended
426730576,deleted
2238600265,deleted
803787489387433988,deleted
47841743,deleted
729561931237851136,suspended
437641015,deleted
4830889947,deleted
3248139409,suspended
23632763,deleted
3280176614,deleted
314831963,deleted
719375316347592705,deleted
28496395,deleted
190814199,suspended
819704091161088000,suspended
432723252,deleted
3305190124,suspended
3579951444,deleted
603376827,suspended
1576449811,deleted
330119691,deleted
1508681012,deleted
396182373,deleted
814745213172215808,suspended
844718985333669890,deleted
35405883,deleted
49974658,deleted
264112524,suspended
36371296,suspended
987828061,deleted
359973627,deleted
1161552115,deleted
518070775,deleted
401527800,deleted
1650783787,deleted
2319171317,deleted
571157091,suspended
513791689,deleted
752273401935454208,suspended
824226733238943744,suspended
1697724859,deleted
108554757,deleted
169977234,deleted
622426116,deleted
21010337,deleted
3407627704,deleted
46569786,deleted
132008797,deleted
153367582,deleted
181118381,deleted
387936202,deleted
249823642,suspended
